name,Spec_lvl,Fc,Tstar,error,snr,qc,residual
2_Z_2009427_933.674_SBJI,6.959255228564914e-09,12.600000000000001,0.1,0.7778195579124451,7.448929184025944,1,0.7441595404660342
2_N_2009427_933.674_SBJI,3.483989575185676e-08,12.600000000000001,0.14400000000000002,1.0379475687596769,20.557467677911365,0,0.9471142695403216
2_Z_2009427_933.674_MNAI,4.3406042514637197e-07,12.600000000000001,0.096,0.9357398654093199,39.06702383989619,1,0.5258920505993578
2_N_2009427_933.674_MNAI,8.324053455665537e-07,12.600000000000001,0.074,0.9601642944026137,48.428492628904884,1,0.5668007272484681
2_Z_2009427_933.674_LWLI,4.635486428994837e-06,12.600000000000001,0.084,0.684101890554891,30.744431087295098,1,0.5018385882612394
2_N_2009427_933.674_LWLI,1.1535799357695764e-05,12.600000000000001,0.099,0.793547870315992,39.5172176768268,1,0.5701697529694967
2_Z_2009427_933.674_KASI,4.3904653050909165e-07,12.600000000000001,0.10500000000000001,0.7726158135590196,40.55683536988576,1,0.461447151302883
2_N_2009427_933.674_KASI,2.9983638332058277e-06,12.600000000000001,0.137,0.7747648654792381,56.234350898939276,1,0.6521413921085186
2_Z_2009427_933.674_CGJI,9.522988225671964e-08,12.600000000000001,0.109,0.7881574834850712,25.788132363934736,1,0.603224279392989
2_N_2009427_933.674_CGJI,3.3712453721201625e-07,12.600000000000001,0.137,0.8158666933245715,34.181381396544275,1,0.5049212335956095
2_Z_2009427_933.674_BLSI,9.734794001598112e-08,12.600000000000001,0.099,0.7105642125837884,18.20854469388109,1,0.6485332659747607
2_N_2009427_933.674_BLSI,6.887861837447385e-07,12.600000000000001,0.159,0.742602678883346,22.435001864656385,1,0.46984624575631717
